DATAFLOW,LAST UPDATE,freq,subst_cat,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:AEI_PESTSAL_RSK(1.0),03/06/25 11:00:00,A,CHAS,KG,AT,2011,3185127,,
ESTAT:AEI_PESTSAL_RSK(1.0),03/06/25 11:00:00,A,CHAS,KG,AT,2012,3269729,,
ESTAT:AEI_PESTSAL_RSK(1.0),03/06/25 11:00:00,A,CHAS,KG,AT,2013,2815225,,
ESTAT:AEI_PESTSAL_RSK(1.0),03/06/25 11:00:00,A,CHAS,KG,AT,2014,3127332,,
ESTAT:AEI_PESTSAL_RSK(1.0),03/06/25 11:00:00,A,CHAS,KG,AT,2015,3570836,,
ESTAT:AEI_PESTSAL_RSK(1.0),03/06/25 11:00:00,A,CHAS,KG,AT,2016,4170572,,
ESTAT:AEI_PESTSAL_RSK(1.0),03/06/25 11:00:00,A,CHAS,KG,AT,2017,4425243,,
ESTAT:AEI_PESTSAL_RSK(1.0),03/06/25 11:00:00,A,CHAS,KG,AT,2018,5109231,,
ESTAT:AEI_PESTSAL_RSK(1.0),03/06/25 11:00:00,A,CHAS,KG,AT,2019,4793783,,
ESTAT:AEI_PESTSAL_RSK(1.0),03/06/25 11:00:00,A,CHAS,KG,AT,2020,5533217,,
ESTAT:AEI_PESTSAL_RSK(1.0),03/06/25 11:00:00,A,CHAS,KG,AT,2021,5782949,,
ESTAT:AEI_PESTSAL_RSK(1.0),03/06/25 11:00:00,A,CHAS,KG,AT,2022,6063580,,
ESTAT:AEI_PESTSAL_RSK(1.0),03/06/25 11:00:00,A,CHAS,KG,BE,2011,5260694,,
ESTAT:AEI_PESTSAL_RSK(1.0),03/06/25 11:00:00,A,CHAS,KG,BE,2012,5587765,,
ESTAT:AEI_PESTSAL_RSK(1.0),03/06/25 11:00:00,A,CHAS,KG,BE,2013,5383591,,
ESTAT:AEI_PESTSAL_RSK(1.0),03/06/25 11:00:00,A,CHAS,KG,BE,2014,6065569,,
ESTAT:AEI_PESTSAL_RSK(1.0),03/06/25 11:00:00,A,CHAS,KG,BE,2015,5392993,,
ESTAT:AEI_PESTSAL_RSK(1.0),03/06/25 11:00:00,A,CHAS,KG,BE,2016,5590553,,
ESTAT:AEI_PESTSAL_RSK(1.0),03/06/25 11:00:00,A,CHAS,KG,BE,2017,5539630,,
ESTAT:AEI_PESTSAL_RSK(1.0),03/06/25 11:00:00,A,CHAS,KG,BE,2018,5648633,,
ESTAT:AEI_PESTSAL_RSK(1.0),03/06/25 11:00:00,A,CHAS,KG,BE,2019,5548104,,
ESTAT:AEI_PESTSAL_RSK(1.0),03/06/25 11:00:00,A,CHAS,KG,BE,2020,5759426,,
ESTAT:AEI_PESTSAL_RSK(1.0),03/06/25 11:00:00,A,CHAS,KG,BE,2021,5723606,,
ESTAT:AEI_PESTSAL_RSK(1.0),03/06/25 11:00:00,A,CHAS,KG,BE,2022,5111719,,
ESTAT:AEI_PESTSAL_RSK(1.0),03/06/25 11:00:00,A,CHAS,KG,BG,2011,3323029,,
ESTAT:AEI_PESTSAL_RSK(1.0),03/06/25 11:00:00,A,CHAS,KG,BG,2012,1183291,,
ESTAT:AEI_PESTSAL_RSK(1.0),03/06/25 11:00:00,A,CHAS,KG,BG,2013,1040371,,
ESTAT:AEI_PESTSAL_RSK(1.0),03/06/25 11:00:00,A,CHAS,KG,BG,2014,887056,,
